Attribute;Type
handicapped-infants;category
water-project-cost-sharing;category
adoption-of-the-budget-resolution;category
physician-fee-freeze;category
el-salvador-adi;category
religious-groups-in-schools;category
anti-satellite-test-ban;category
aid-to-nicaraguan-contras;category
mx-missile;category
immigration;category
synfuels-corporation-cutback;category
education-spending;category
superfund-right-to-sue;category
crime;category
duty-free-exports;category
export-administration-act-south-africa;category
target;category
